Installs by language
Date,Arabic,Bulgarian,Catalan,Chinese (China),Chinese (Taiwan),Croatian,Czech,Danish,Dutch,English,English (United Kingdom),English (United States),Estonian,Finnish,French,German,Greek,Hebrew,Hungarian,Indonesian,Italian,Japanese,Korean,Latvian,Lithuanian,Norwegian,Persian,Polish,Portuguese (Brazil),Portuguese (Portugal),Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,Swedish,Thai,Turkish,Ukrainian,Vietnamese,en-ca,fr-ca
3/15/22,0,0,0,2,0,0,0,0,1,0,3,21,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
3/16/22,0,0,0,1,0,0,0,0,0,0,9,31,0,0,1,4,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
3/17/22,0,0,0,2,0,0,1,0,1,0,8,43,0,1,2,0,0,0,0,10,0,0,0,0,0,0,0,1,3,3,0,4,0,1,0,2,0,0,0,0,1,0,0
3/18/22,0,0,0,2,0,0,0,0,1,0,9,56,0,2,1,4,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0
3/19/22,0,0,0,7,0,0,0,1,1,0,11,36,0,1,2,3,0,0,0,11,1,1,0,0,0,0,1,0,3,0,0,2,0,0,0,1,0,0,0,0,1,0,0
3/20/22,0,0,0,1,3,0,0,0,0,0,6,30,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0
3/21/22,0,0,0,7,2,0,1,0,0,0,17,44,0,0,3,4,0,0,1,7,0,0,0,0,0,0,0,0,6,2,0,2,0,0,0,2,0,0,0,0,1,0,0
3/22/22,0,0,0,3,1,0,1,0,0,0,18,76,0,1,2,4,1,0,0,8,0,0,0,0,0,0,0,4,5,1,0,5,0,0,0,5,0,0,0,0,1,0,0
3/23/22,0,0,0,3,0,0,0,0,6,0,5,63,0,0,4,2,1,0,0,7,1,0,1,0,0,3,0,4,9,2,0,17,0,0,0,4,1,0,3,0,7,0,0
3/24/22,0,0,0,3,0,0,0,0,1,0,13,89,0,3,1,5,0,0,0,9,1,0,0,0,0,1,0,2,7,1,1,6,0,0,0,2,0,0,1,0,2,0,0
3/25/22,0,0,0,2,1,0,1,1,0,0,17,65,0,2,6,5,0,0,1,7,5,0,1,0,0,1,0,3,2,2,0,2,0,0,0,6,0,0,3,0,3,0,0
3/26/22,0,0,0,2,1,0,0,1,1,0,11,66,0,0,0,3,0,0,0,6,1,0,1,0,0,1,0,1,5,0,1,7,0,0,0,5,1,0,2,1,0,0,0
3/27/22,0,1,0,6,0,0,1,0,1,0,14,76,0,0,1,10,0,0,0,5,0,0,1,0,0,0,0,0,8,2,0,3,0,0,1,9,1,0,0,0,0,0,0
3/28/22,1,0,0,5,2,0,1,0,4,0,18,86,0,0,3,8,0,0,0,18,2,1,0,0,0,0,0,0,7,0,1,4,0,0,0,7,2,0,0,0,0,0,0
3/29/22,0,0,0,2,1,0,0,0,1,0,11,47,0,2,2,2,0,1,1,11,0,0,1,0,0,0,0,0,9,2,1,4,0,0,0,2,0,0,1,0,0,0,0
3/30/22,0,0,0,0,2,0,0,0,1,0,13,44,0,1,0,4,0,0,0,10,1,0,1,0,1,0,0,0,5,1,0,2,0,0,0,3,1,0,0,0,0,0,0
3/31/22,0,0,0,1,0,0,0,0,1,0,11,32,0,1,0,5,0,0,0,2,0,0,0,0,0,0,0,0,4,4,0,2,0,0,0,2,1,1,0,0,1,0,0
4/1/22,0,0,0,1,1,0,0,0,1,0,7,29,0,0,0,4,0,0,0,4,0,0,1,0,0,0,0,2,4,1,0,1,0,0,0,3,0,0,0,0,0,0,0
4/2/22,0,0,0,0,0,0,0,0,0,0,10,35,0,0,3,0,3,0,0,4,2,0,2,0,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0
4/3/22,0,0,0,1,0,0,0,0,0,0,5,30,0,0,2,5,1,0,1,6,1,1,0,0,0,0,0,1,4,1,0,1,0,0,0,2,1,0,1,0,0,0,0
4/4/22,0,0,0,0,0,0,0,0,1,0,9,36,0,0,2,4,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0
4/5/22,0,0,0,2,0,0,1,0,1,0,13,50,0,0,5,2,0,0,0,9,3,0,0,0,0,0,0,2,3,1,0,3,0,0,0,5,1,0,1,0,1,0,0
4/6/22,0,0,0,1,0,0,0,0,3,0,9,37,0,1,6,7,0,0,1,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
